feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,msg_id,HITId,Input.sentence_id,Input.convo_id,Input.train_test_val,Input.msg_id,Input.timestamp,Input.full_text,Input.speaker,Input.reply_to,Input.speaker_intention,Input.reciever_perception,Input.reciever,Input.absolute_message_index,Input.relative_message_index,Input.year,Input.game_score_speaker,Input.game_score_receiver,Input.game_score_delta,Input.deception_quadrant,Input.num_words,Input.num_characters,Input.sno,Input.sno1,Input.similar_text_id,affcon_gamemove,affcon_reasoning,affcon_rapport,affcon_shareinformation,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-24,3EHIMLB7F7Z2MLVV2TFV5GNKXC1H8C,57,Game1-italy-germany,Train,Game1-italy-germany-24,340,"Fair enough--I'll help you take it, then, but I'll need to deal with Belgium first.",germany-Game1,Game1-italy-germany-23,Truth,Truth,italy-Game1,340,24,1901,5,6,1,Straightforward,15,83,8,16.0,5871,1.0,1.0,1.0,1.0,16,11.86,50.00,74.76,99.00,16.00,6.25,81.25,50.00,25.00,18.75,12.50,0.00,6.25,0.00,0.00,6.25,0.00,12.50,12.50,0.00,12.50,0.00,25.00,6.25,0.00,0.00,6.25,0.00,6.25,6.25,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,6.25,6.25,6.25,6.25,0.00,0.00,12.50,18.75,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.75,6.25,12.50,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Game1-italy-germany-26,3D42WVSDH8VXNVV7K7PP18Z9ACWFYV,60,Game1-italy-germany,Train,Game1-italy-germany-26,354,I'm trying--I just offered to assist with taking Sweden in exchange for some assistance into Belgium...not sure if they'll go for it...,germany-Game1,Game1-italy-germany-25,Truth,Truth,italy-Game1,354,26,1902,5,6,1,Straightforward,22,135,16,54.0,15930,1.0,1.0,1.0,1.0,24,72.69,10.58,74.76,92.40,24.00,16.67,87.50,54.17,16.67,12.50,8.33,0.00,0.00,0.00,4.17,4.17,0.00,25.00,8.33,4.17,4.17,4.17,20.83,0.00,0.00,0.00,0.00,4.17,4.17,4.17,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,20.83,0.00,0.00,4.17,12.50,4.17,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,4.17,0.00,4.17,0.00,0.00,8.33,4.17,12.50,4.17,8.33,0.00,4.17,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.67,25.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-29,3W0XM68YZPVBDBCI9T9D3YG4BN01KH,63,Game1-italy-germany,Train,Game1-italy-germany-29,368,And Im glad to see youre so focused on this in your first game.,italy-Game1,Game1-italy-germany-28,Truth,Truth,germany-Game1,368,29,1902,4,3,-1,Straightforward,14,65,99,5.0,18472,1.0,1.0,1.0,1.0,14,5.89,99.00,89.63,99.00,14.00,7.14,92.86,64.29,28.57,21.43,7.14,0.00,14.29,0.00,0.00,7.14,0.00,21.43,14.29,7.14,14.29,0.00,21.43,7.14,0.00,0.00,7.14,0.00,7.14,7.14,0.00,0.00,0.00,0.00,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,7.14,7.14,0.00,0.00,0.00,0.00,21.43,0.00,21.43,0.00,14.29,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-31,3S37Y8CWI80J0A3ILPBIP7H2AEMW4O,69,Game1-italy-germany,Train,Game1-italy-germany-31,424,I think you need to get England on board to attack France.,italy-Game1,Game1-italy-germany-30,Truth,Truth,germany-Game1,424,31,1902,4,3,-1,Straightforward,12,58,43,49.0,17403,1.0,1.0,1.0,1.0,12,98.14,79.76,23.51,1.00,12.00,8.33,75.00,41.67,16.67,16.67,8.33,0.00,8.33,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,16.67,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,8.33,8.33,0.00,0.00,25.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,Game1-italy-germany-32,36FQTHX3Z3R6UBM3QKA3SOCBMDA3BW,74,Game1-italy-germany,Train,Game1-italy-germany-32,426,Have you communicated at all with England or France?,germany-Game1,Game1-italy-germany-31,Truth,Truth,italy-Game1,426,32,1902,5,6,1,Straightforward,9,52,39,63.0,2090,1.0,0.0,1.0,1.0,9,75.90,98.62,58.07,25.77,9.00,22.22,77.78,55.56,11.11,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,22.22,11.11,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,11.11,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Game1-italy-germany-39,3W5PY7V3UP7DSXH33XGAG6R13JBYJF,97,Game1-italy-germany,Train,Game1-italy-germany-39,693,"Hey  sorry, just getting back into this now.",italy-Game1,Game1-italy-germany-38,Truth,Truth,germany-Game1,693,39,1903,5,6,1,Straightforward,9,45,79,42.0,6044,1.0,1.0,1.0,1.0,8,11.86,89.42,99.00,1.00,8.00,12.50,100.00,62.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,37.50,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,37.50,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,25.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-41,3R5OYNIC2C9DXML7O4YV5LLYXGZPTH,102,Game1-italy-germany,Train,Game1-italy-germany-41,740,I am pretty sure that England is not attacking you this turn.,italy-Game1,Game1-italy-germany-40,Truth,Truth,germany-Game1,740,41,1903,5,6,1,Straightforward,12,61,87,32.0,5390,0.0,0.0,0.0,0.0,12,1.00,20.24,74.76,99.00,12.00,16.67,91.67,58.33,33.33,16.67,8.33,0.00,8.33,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,8.33,25.00,0.00,0.00,0.00,0.00,0.00,25.00,16.67,8.33,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,8.33,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,25.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,Game1-italy-germany-44,3PA41K45VN4QZOO0B1VU0PTG8J77PM,108,Game1-italy-germany,Train,Game1-italy-germany-44,748,I agree completely--although I didn't know that a country could hold *and* support at the same time!,germany-Game1,Game1-italy-germany-43,Truth,Truth,italy-Game1,748,44,1903,4,3,-1,Straightforward,17,100,27,24.0,10509,1.0,1.0,1.0,1.0,18,18.82,1.00,99.00,99.00,18.00,22.22,94.44,61.11,16.67,11.11,11.11,0.00,0.00,0.00,0.00,5.56,11.11,5.56,11.11,5.56,11.11,5.56,22.22,5.56,5.56,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,5.56,0.00,5.56,0.00,5.56,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,11.11,0.00,16.67,0.00,11.11,5.56,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,5.56,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,5.56,11.11,0.00,5.56,0.00,11.11
0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,Game1-italy-germany-51,32TZXEA1OLKQZ9NFO1MXWHR8E1F41Z,117,Game1-italy-germany,Train,Game1-italy-germany-51,860,I think me and England are really on the same page at this point regarding France.,germany-Game1,Game1-italy-germany-50,Truth,Truth,italy-Game1,860,51,1904,4,2,-2,Straightforward,16,82,74,55.0,11190,1.0,1.0,1.0,1.0,16,72.69,3.05,99.00,25.77,16.00,12.50,81.25,62.50,18.75,12.50,12.50,0.00,0.00,0.00,0.00,6.25,6.25,18.75,6.25,6.25,6.25,0.00,12.50,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,6.25,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,18.75,0.00,18.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,Game1-italy-germany-51,37NXA7GVST62JTAY1753PM0ZPRAVL1,118,Game1-italy-germany,Train,Game1-italy-germany-51,860,"I'm actually sort of running counter-intelligence for England (and my friends to the south, of course!)",germany-Game1,Game1-italy-germany-50,Truth,Truth,italy-Game1,860,51,1904,4,2,-2,Straightforward,16,103,33,11.0,15409,1.0,1.0,1.0,1.0,17,93.26,11.97,91.95,98.87,17.00,35.29,88.24,52.94,11.76,11.76,11.76,0.00,0.00,0.00,0.00,0.00,5.88,23.53,5.88,5.88,5.88,0.00,11.76,0.00,0.00,0.00,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,11.76,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,5.88,0.00,11.76,5.88,5.88,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.29,0.00,5.88,0.00,0.00,0.00,5.88,5.88,0.00,5.88,11.76,0.00
