,frequency
means that rumania,35
much interesting,35
lunch break lol,35
many dots each,35
my fleet to,34
nth par pic,34
my suggestion for,34
north and have,34
note,34
nth into hol,34
my fleet there or,34
mount an,34
much better for us,33
more information,33
obviously didn tell them,33
know where austria plans,33
my fleets into,33
next target for me,33
resolving in,32
munich isn at risk,32
me message that,32
messages still,32
my brother,32
norway denmark,32
now the question,32
much of england,32
matter what he,32
my builds,31
mine,31
need yet,31
mind games and cant,31
mun ska nth swe,31
me to help,31
make sure were,31
locks me,31
not be able to,31
not with you,31
much info,31
my earlier,30
it should clearly be,30
me know who you,30
norway for,30
out to turkey about,30
my plan,30
lies to me,30
least to,30
it to me,29
look whatever your reasons,29
my plan and,29
not losing,29
other news what your,29
miricle,29
on turkey,29
north is,29
me to have belgium,29
nosy at,29
no but just started,29
mar uncontested,28
lower his guard,28
more and,28
net from,28
once ive heard back,28
me to attack england,28
mun ruh bur nth,28
need to push east,28
not gonna lie rusty,28
loves them dots yeah,28
nightfall,28
know its attractive just,28
players are like sheep,28
need an actual,28
my preference for,28
no contract,28
on the off,27
par pic bre,27
nwy,27
minority thing hahah,27
not good form,27
not tournament,27
moving south,27
ll see with,27
might be difficult to,27
my dmz with,27
not looking to,27
nth hol hel nth,27
obviously bit,27
or should move there,27
maybe let,27
north and,26
looking forward to great,26
placed an order accordingly,26
russia moves,26
marseilles and mean,26
notes,26
more than that from,26
not yet,26
moscow or,26
next target for,26
largest only,26
once ive,26
me to stab,26
my heart and know,26
my transgression that,26
more attractive ally for,26
of him at,25
makes them voluntarily return,25
never get the hang,25
north sea filled,25
lot more worried about,25
not dislodging galicia are,25
not be good match,25
know if,25
like to discuss,25
munich to break,25
meant italy,25
munich or ruhr,25
on the second,25
meetings today on,25
mover unless,25
kind of the,25
my advantage but feel,25
munich to,25
moscow being,24
more success,24
nth par pic bre,24
moves in this game,24
nth you,24
nervous about your,24
moving out,24
ll move,24
negotiate,24
my dots are distributed,24
may make him even,24
may have reached,24
move mutually benefits,24
mistook you for spring,24
me having mistreated you,24
pal no,24
looks like france russia,24
move on kiel you,24
med to help out,24
of wild card so,24
not needed,24
much just,24
ok read some of,24
so currently you are,24
message anyone else until,24
need you,24
might be difficult,24
need any help,23
more sense if youre,23
not sure how,23
more keen to fight,23
nao north channel insist,23
med to,23
motivation behind it,23
resolving the,23
let him into,23
mind if go,23
next year in return,23
my pitch year ago,23
of them if,23
ok need,23
me have,23
my gf last night,23
nth pru,23
message that,23
make some gains,23
just trying,23
ll probably go,22
map kind of,22
not be threat in,22
juggernaut there certain,22
of being wrong was,22
not him,22
need from,22
my build how,22
not sure yet,22
it significantly,22
of worried about,22
move to finland,22
mistaken they like me,22
nobody falls for,22
moving into ven,22
mun swe nwy vie,22
move to rumania,22
moves to,22
nations catch,22
off that way,22
morning before make moves,22
me few days,21
me would,21
need anything from greece,21
my fleet up to,21
how confident are you,21
neighbours or,21
more involved,21
his kids,21
need to support germany,21
meant if,21
may be interested to,21
mutually benefits us,21
one respect,21
more france manages,21
need to move den,21
maybe see,21
moves baltic,21
moves to amp up,21
knows what they,21
note russia is,21
not an,21
motivated to attack,21
move and are,21
not in your moves,21
portugal and,21
moving ion or just,21
just hold,21
my transgression that my,20
mun ruh is still,20
matter what,20
mean umm not really,20
of belgium and,20
on turkey for,20
nervous youre like,20
me figure,20
my fleet to aeg,20
move to nwy,20
ll make how,20
mover to,20
of him at all,20
my territories and,20
myself on,20
makes the alliance,20
just wondering about,20
messages instead of sabotaging,20
much needed,20
naples and it,20
likely it seems,20
nth you mean,20
north sea convoys denmark,20
least through the,20
in even,20
my moves will,20
much just trying to,20
knows hes kinda beat,20
of hitting it,20
me to ally with,20
need an ally in,20
hear but need an,20
me my supply center,20
key here is getting,20
ruh hol,20
keep me posted,20
no choice but to,20
my ability to help,20
lot of potential,20
my plans and,20
my phone,20
on him,20
of my favorite,20
of discord,20
more attractive ally,19
much in the routine,19
munich or go,19
mean north,19
respect because,19
of an alliance with,19
not already aligned,19
more info,19
longer you re,19
if do that wouldnt,19
nice to be,19
my foothold,19
okay starting conservatively could,19
least to warn me,19
not you is,19
morning before make,19
me wonder did you,19
my offer support,19
look whatever,19
norway and,19
me to go into,19
north sea with,19
italy is telling us,19
on war in,19
med tuscany and,19
let france and england,19
my fleet towards the,19
know whats gonna happen,19
me some presence in,19
mistakes,19
norway in the,19
orders but it hardly,19
me my,19
of me for the,19
manages to,19
manpower to,19
move most units,19
of won but kind,19
lack,18
nice game,18
over all of,18
nothing to worry about,18
more keen,18
italy partnership,18
retreat from,18
not responding to them,18
my fear,18
needed supply center,18
needs to be,18
ll bet set for,18
not surrendering,18
key in transfers like,18
might be bit at,18
like him and,18
mistake,18
much detail but will,18
of our chances,18
move on you,18
mao surprises with,18
of whatever,18
means of,18
me little say on,18
moved an army there,18
maybe can leverage,18
made up with france,18
not have,18
move btw,18
just hold this,18
make him have,18
little apologetic and,18
less in stop,18
move to vienna because,18
road as lesson to,17
my tentative,17
me ask you my,17
re doing,17
know tomorrow,17
my previous message didn,17
of germany russia,17
my offer is,17
is reading my,17
know when and you,17
move north or toward,17
north or revert to,17
he might be full,17
mutually beneficial results,17
or friend,17
much contact with,17
italy eats,17
mistake moving into gal,17
made up your,17
move to livonia,17
lot of dots,17
might be able to,17
of either,17
in doing,17
order in for ser,17
its huge,17
man england and just,17
making play for,17
players in,17
move mao back south,17
maybe you,17
not the best predecessor,17
on the silence,17
more because ill,17
no small talk or,17
me with turkey,17
kick the,17
ruthless,17
may actually have to,17
of truths so,17
maybe it what you,17
me to support,17
potentially convoy your,17
not looking to solo,17
not sure if my,17
of belgium,16
need to push,16
our germany will,16
moves to back it,16
of france like what,16
my plan was,16
past each other,16
my foothold on the,16
or tie up england,16
of my fleets into,16
need to move,16
move mun,16
know what you,16
lying on,16
north and turkey,16
mun boh,16
of where,16
now so,16
next to my own,16
me than antagonizing england,16
just causally,16
one to keep,16
here at the start,16
move to piedmont this,16
kie den hol,16
intent was,16
on this one,16
munich isn at,16
of starting quibble,16
period on,16
me to punish my,16
makes me think russia,16
on pushing,16
new from russia,16
moving outta there,16
out there as,16
man hows it,16
myself to,16
me dig into it,16
lol thank,16
like hell,16
like support into,16
kind of sucks that,16
on the second turn,16
means you,15
offer to support,15
of us you me,15
like our best channel,15
know if you find,15
push east for sure,15
opinion but,15
offer then,15
lot of fleets,15
offer holland,15
oh no sorry,15
need anything specific besides,15
position where their best,15
is typical no,15
my fleet up,15
not just the,15
ruh sil,15
lost berlin,15
me nervous but how,15
reassure me bit,15
seem interested,15
its stab worry,15
need to pick two,15
see to it,15
on this island gonna,15
makes me look sus,15
moment anyway so,15
me about the,15
likely have,15
much austria moving,15
personally,15
other question is,15
not going,15
ll make the right,15
off italy and,15
other between,15
season to see,15
oh that true,15
on my part,15
necessary to claim,15
of france pulling back,15
scheming has,15
not giving up,15
pretty sure you would,15
should really convince,15
may have to alter,15
something else,15
moves that,15
odd choice to,15
no forcing,14
if we want and,14
odd choices,14
now and think its,14
move den to,14
lepanto with an,14
me so flush,14
my fear is,14
nice game where,14
ll both,14
need everyone to fall,14
ll bet,14
or from,14
naples and,14
least they locked horns,14
lineup,14
north sea just for,14
north sea from there,14
no idea who,14
my gf my,14
me for the beginning,14
or france you mean,14
mistaken they like,14
make me think juggernaut,14
mistaken,14
neither germany nor austria,14
me do,14
my fleet there,14
of lepanto to austria,14
italy tried to,14
more anti french in,14
said losing one in,14
many dots each winning,14
of our peace of,14
mun ska nth,14
necessary to claim your,14
of my dmz with,14
necessitate,14
mar from spain,14
nosy and apologize,14
or turkey is going,14
more or,14
pleasantly,14
not sure whether germany,14
on throwing the,14
of southern triple as,14
passed and someone,14
my advice about what,14
mutually benefits,14
keep the genie,14
is your relationship,14
opened to,14
of equality,14
know it,14
mostly we had common,14
im lying or im,14
not to try,14
me know need to,14
moves bot bal war,13
longest time about you,13
matter unless you are,13
rum war gal tri,13
move on turkey,13
my dots are,13
mean we,13
is first to the,13
or south through you,13
move onto bul with,13
need to make sure,13
indications from,13
lets try to chat,13
it basically lost,13
necessary youre angling for,13
rum,13
is the game you,13
necessity,13
me nervous but,13
of my territories and,13
just bounce them,13
off from,13
my eye on norway,13
moving one,13
marseilles headed,13
more info from austria,13
no gains,13
need at least,13
of doing,13
is the great,13
season yet and,13
of denmark,13
much dirty,13
not friends until the,13
ll probably build an,13
not giving toss about,13
just lmk,13
probably reach,13
me just pushing along,13
probably hold mun and,13
my pants,13
mistaken they,13
on more,13
me in good,13
me than,13
people are going,13
net from the,13
most scs,13
maybe offer to disband,13
just hatched plan,13
me and russia,13
moving it to,13
lose my foothold on,13
relationship with germany,13
on kiel you tried,13
money for something,13
one of turkeys territories,13
makes no sense,13
never got back,13
likely bounce but it,13
needed to,13
intelligence will be enough,13
there can we go,13
intend to,13
is two,13
relying on him to,12
move most units south,12
let them,12
no issue,12
move to english,12
of being,12
mean north of sev,12
me assuming that ukraine,12
otherwise had us,12
point if id rather,12
lack of communication we,12
heads up but gotta,12
me about heading back,12
russians first,12
manages,12
moved it looking,12
not sure if now,12
marseilles to,12
had fairly,12
neck,12
marseilles or,12
need an ally,12
or german in,12
or from another,12
or friend who,12
robust,12
note if italy is,12
nice to be able,12
not you is it,12
my nap but,12
retreat from burgundy this,12
me taking it would,12
lower his guard bit,12
myself in so,12
move to bud,12
never go well,12
not told anyone,12
our weaker allies before,12
me feel guilty,12
end and refuse,12
keeps,12
pry,12
much detail,12
re doing sev bla,12
nobody falls for it,12
italy is someone you,12
hmm you,12
on me convoying an,12
norway in the first,12
his pants,12
that western,12
norway instead,12
just hand over norway,12
misery,12
norway instead of,12
odd smy,12
problem with,12
messages in the morning,12
mind for me,12
party was,12
ll be left,12
my fear is the,12
persuade him to go,12
on stop the leader,12
off in burgundy,12
problem is the lack,12
line,12
just berlin but,12
plan to russia,11
one to keep tyrrhenian,11
opinion about the best,11
take kiel and,11
online,11
mun support instead,11
mean if,11
not go against,11
look into,11
please support nrwy fin,11
of eating pasta now,11
lose ruhr,11
not go after you,11
let approach this,11
maybe not but,11
not go after,11
moveset this time,11
kind of lot,11
know or,11
is aiming,11
idea all ears,11
possible question,11
lets use,11
its so easy to,11
or to,11
opposed but me taking,11
opt for,11
norway denmark thing,11
move to bud and,11
new goal,11
just dive,11
looks like pretty aggressive,11
if support you into,11
of yours until all,11
result of being wrong,11
rest within expected,11
lost serbia,11
maybe austria can,11
not be surprised,11
nice being on the,11
put em out,11
not be allowed by,11
move to vienna,11
italy tried,11
ll happily support,11
nth again and you,11
move on turkey what,11
out that austria is,11
moving it to constantinople,11
require some guesswork,11
next time we,11
rough,11
next time we need,11
inside scoop from italy,11
said think we,11
orders but it worked,11
on your gender,11
love our alliance,11
me out,11
open about,11
might say something like,11
otherwise so it up,11
needed,11
make solid moves,11
me know how can,11
munich so that it,11
im thinking an,11
minimal objections before,11
russia against turkey,11
little,11
move into rum and,11
russia soon if,11
me displacing,11
or toward,11
least until the,11
or toward france,11
my fight,11
least you,11
knows what hell actually,11
question is do,11
smy in one,11
question is whether,11
message didn go,11
moves to amp,11
least to warn,11
never,11
saw france pouring,11
let you know tomorrow,11
of letting,11
my thought too,11
lines because,11
not bouncing,11
of it,11
mine could,11
line and focus on,11
move to pru,11
overloading,11
move lyo to wes,11
odds are better,11
more than build for,11
nth into,11
so definitely got used,11
lost berlin vacated,10
russia get rum,10
move or try,10
next round,10
group,10
like we resolved,10
nobody falls,10
makes everyone trust,10
reaching out,10
it set,10
it sounds like england,10
of deals nothing,10
know austria is,10
imposing than it,10
italy and england,10
of shit,10
me stronger player,10
me being benefit to,10
risk is him,10
make solid moves and,10
so might not stay,10
north sea from,10
in norway to follow,10
me assuming,10
honest and clear,10
misery yknow,10
making sure you got,10
russia get,10
motivation behind,10
norway,10
it was too late,10
now just in terms,10
or less jockeying for,10
other news,10
on the seas almost,10
large part because didn,10
mine could you sup,10
instead from naples and,10
ll be around for,10
like him to,10
ll attack them,10
just playing games and,10
my sultan how,10
lvn is far more,10
out and hope,10
makes world,10
of letting me,10
know just,10
my advice,10
makes no sense that,10
me have you,10
into moscow can help,10
reached,10
in every territory,10
permanently but that wasnt,10
just not responding,10
intend to focus on,10
just point out that,10
in london they could,10
havent been reaching out,10
re the last,10
moving away from,10
makes me think,10
quibble when there,10
off next year,10
plan for getting back,10
legitimate,10
lyons and,10
of the top ranked,10
moves just so,10
of ruh probably to,10
of my dmz,10
mun ska,10
of those points,10
ll poke serbia to,10
resolving in the west,10
moves as last time,10
long as we stick,10
on sweden so,10
situation figured out,10
the drop on both,10
hope we,10
of all my plans,10
my family,10
said that,10
help from you we,10
one directly between,10
no forcing rum,10
remaining powers,10
need to get munich,10
put england to,10
not going to attack,10
long is no small,10
potential mun,10
long most,10
late to,10
march,10
it gets,10
him id just,10
late at,10
kept trying to get,10
not king youre just,10
need to play,10
messages in days not,10
last time too if,10
mun den hel,10
or try for,10
ll lose it,10
me to always,10
my fleets on,10
skycon out,10
map looks,10
italy wont,10
neck to win,10
move and,10
may have some inside,10
pair of nations and,10
over norway and sweden,10
powerhouse,10
ll move back,10
in your favor as,10
much better position,10
or try for viena,10
looking forward to playing,10
my holdings what use,9
lyons and also means,9
of getting caught,9
monarch so ll cut,9
late,9
headway with germany this,9
little unorthodox,9
now to figure out,9
my understanding was,9
past each,9
move to two,9
my tentative plans,9
nation would be beneficial,9
let me have some,9
not ton to talk,9
powerful play,9
my time,9
italy starting lepanto and,9
lets try,9
instead of you,9
move boh this season,9
means that it,9
keep the genie from,9
him in sweden but,9
russia and see,9
over and add,9
other really,9
just planning,9
needs,9
munich undefended,9
pact just would like,9
keep resisting italy if,9
russia so that,9
moving to ruhr,9
point out,9
italy but they re,9
me being there,9
issue with you,9
me anxious,9
hes not attacking you,9
see your message,9
in berlin btw,9
russia like,9
not sure that,9
move mao,9
not do that then,9
seem too,9
rather focus on,9
france to be involved,9
me assuming that,9
my fleets into nor,9
planning on going,9
hey turkey how is,9
say in the,9
no interest,9
into rum in the,9
sense if youre,9
move munich to,9
know whether,9
move munich into tyr,9
imaging,9
ill try to gather,9
italy messed it up,9
like austria weve,9
immensely keen,9
rebuild you and push,9
nothing to worry,9
like support,9
isn in the gulf,9
intent was going to,9
problem supporting,9
ground as,9
least until,9
me and that,9
my inclination when play,9
should give me some,9
good or really lucky,9
not be able,9
move turkey,9
rest of the board,9
is going to italy,9
norway and sweden,9
messy and,9
nobody makes it,9
lemme just straighten,9
my plans and you,9
reached out to france,9
making that,9
move out,9
open to good,9
mover is,9
it means he,9
good on france for,9
of rum and,9
is down to get,9
me pull up,9
keep denmark this fall,9
lies to me in,9
on who you want,9
shared lot of small,9
second yeah,9
paris,9
ofc we should,9
in position,9
risk is him turning,9
out of the english,9
it proves,9
me through,9
need to prevent,9
need to prop,9
kinda saw that coming,9
out of mainland,9
last person on,9
my offer support you,9
it once,9
obviously dont,9
move onto bul,9
maybe can leverage that,9
maybe can,9
just try and,9
risk trusting the french,9
need to put,9
lepanto to austria and,9
of those two moves,9
on other fronts,9
take my suggestions,9
losing the,9
have an idea that,9
good morning my sultan,9
outgunned at,9
kind of looking like,9
mao succeeds,9
mao succeeds boy can,9
ones thinking about alliances,9
not good at,9
its really,9
motivation,9
obviously you wont,9
one to support,9
in holland and,9
move as,9
may,9
mean the three of,9
instead and then plan,9
like what is he,9
just survive,9
nightfall you re,9
me little vulnerable,9
my suggestion offered to,9
is better,9
me you,9
map kind,9
new from,9
have alliance,9
share all info that,9
in serbia and,9
mun ruh bur,9
okay that makes sense,8
interests because,8
much since the weekend,8
large part because,8
nationally,8
in belgium,8
not to kill austria,8
italy turkey vs austria,8
or greece this year,8
me and you or,8
not attack we,8
much so probably won,8
other of,8
me and you was,8
pull off super cool,8
other around,8
need anything from,8
him that,8
in one respect thought,8
more france manages to,8
much point,8
need to make that,8
pitted,8
now that england,8
the opponent told the,8
in trieste,8
ive asked him again,8
moves before full on,8
in gal sil going,8
land and,8
nationally ranked player,8
secret france can block,8
mar pie naf wes,8
maximize my chances,8
nao in,8
mar from spain and,8
the opening,8
pull two units off,8
nosy and,8
its an,8
needs french,8
just confirming,8
landed in constantinople,8
man england and,8
negotaitions,8
in taking over,8
or you could march,8
from the bad,8
in the near future,8
like we,8
saw that,8
leaning one,8
landed in constantinople and,8
or move,8
pleasantries asking me,8
italys cooperation against,8
of looking like that,8
may tip,8
nationally ranked,8
keep the game,8
not to let him,8
he can put couple,8
opening still worried about,8
if you re interested,8
of them at the,8
that the only,8
on you and my,8
non,8
means itll be hard,8
me my supply,8
my plan will,8
room but,8
reading that,8
split the austria,8
lost berlin vacated kiel,8
ofc we should start,8
talked into the,8
it wasn,8
me so might,8
on holding,8
past england,8
lunch,8
mind he apparently already,8
ion eas,8
my home,8
leaves me much,8
notice on this board,8
hasnt really impressed,8
know that promised to,8
really hoping that,8
ok sorry for the,8
on austria side,8
no position to provide,8
it wasn clear,8
losing one overall if,8
open he must be,8
re on stop,8
messy,8
of builds to use,8
keep germany from defending,8
really do,8
going to keep,8
it means he isn,8
nice guy but we,8
look me up on,8
is sensible if,8
leverage that into some,8
if let you,8
leverage that into,8
keep attacking turkey watch,8
look sus as,8
messages instead,8
that about italy,8
my bul army,8
hoping you can work,8
lose one of paris,8
go to ruhr which,8
is hostile to me,8
of bel hol,8
next time,8
of curiosity how,8
next turn at the,8
out of scandinavia,8
should support brest,8
ll leave the,8
rid of russia soon,8
lie but if,8
not make us,8
move on him now,8
no small talk,8
portugal until the,8
my fault,8
invading me which happy,8
rebuild stp nc which,8
make iberia take longer,8
important that,8
nothing very,8
sorry to have,8
make him guess,8
probably means bunch,8
our collaboration although austria,8
italy and france,8
missing something it guessing,8
keeps coming up russia,8
or denmark or somewhere,8
me feel,8
north and that we,8
on tn,8
help on tactics,8
regarding germany and russia,8
munich or stp otherwise,8
important that the,8
of action,8
like broken record,8
literally just told italy,8
the website normally play,8
on mutually beneficial relationship,8
ratted me out,8
not doing anything,8
that fleet supporting,8
into finland,8
neighbors how goes,8
overloading him but,8
people as possible so,8
people as possible,8
no longer allied against,8
like being so dependent,8
me if they,8
meet,8
like said,8
mostly stuck in,8
plan around,8
not him ignoring me,8
one of his two,8
my understanding was that,8
nwgs with,8
to our two,8
over for seasons at,8
over there comrade,8
me into moscow so,8
mad,8
here is getting germany,8
im attacking,8
out against italy,8
of going to cly,8
mind to keep,8
remains powerful,8
invade any more,8
mostly because you,8
portugal request,8
message back but,8
mun ber sil mun,7
dynamics will be,7
med and put little,7
him but idk what,7
site and how,7
mun support,7
meanwhile move my fleet,7
message every,7
only diplomacy,7
in the dark about,7
mun ruh sil mun,7
on grabbing those supply,7
of won,7
on the front,7
more imposing than,7
held,7
mess,7
messages,7
means itll be,7
my holdings what,7
meetings,7
move most,7
hour to pick his,7
my earlier analysis thanks,7
means that rumania was,7
they wont tell,7
my earlier analysis,7
means he isn in,7
hoping to see something,7
students at some point,7
each in the region,7
stuck,7
to find,7
one of us gets,7
him but this needs,7
ideally profit by,7
on him and,7
season but forgot to,7
messages so don,7
straight face and,7
set of moves,7
think will go,7
morning my,7
money for,7
me it could,7
support nrwy fin,7
soloing but hear,7
me into the,7
mind if take greece,7
me little,7
motivated,7
on anything,7
start out on the,7
he can either keep,7
moves though,7
they re lying to,7
only go,7
hmm yeah it may,7
or head,7
of supply center,7
in addition to the,7
munich plus,7
still if you succeed,7
on three,7
on this unless,7
solid choice no reason,7
he not looking to,7
hmm you didn,7
or can we still,7
sending me,7
me in but,7
spring went,7
opportunity to,7
see bel,7
off from going,7
might as well offer,7
moving into bul,7
offense,7
more beneficial,7
haven talked,7
maybe by building,7
honor,7
on the plus,7
holding what,7
move on,7
hope we can keep,7
on the other hand,7
move north or,7
may have some questions,7
or somewhere,7
starving you out of,7
should send your,7
if they stab you,7
much of relationship with,7
in norway would,7
hahaha get worried sometimes,7
on your plan,7
he should be,7
hair so you can,7
his moves so far,7
might go,7
on the restart,7
my plan will work,7
mun with support,7
maybe see to,7
me really builds trust,7
me really builds,7
mine could you,7
not sure where the,7
it if get,7
knew you say that,7
said anything to austria,7
rum lmfao,7
man whats,7
rest of s01 look,7
of england are you,7
retreat,7
other early,7
picked you,7
of convoying,7
like solid alliance,7
know before,7
ive had several players,7
retreat to bur,7
information can share,7
make sure im reading,7
but well,7
making sure you,7
management written,7
just blabbed off,7
just bounce them out,7
obliging,7
manufacturing the agreement for,7
not attack we have,7
now russia and,7
plan to ally,7
just wondering about all,7
just wondering what your,7
of me getting,7
now since it,7
position to start,7
not antagonizing anyone just,7
thanksgiving,7
out what turkish,7
pretty good head,7
lucky from what ve,7
keep his end,7
not already aligned with,7
is mutually beneficial enough,7
making it work,7
lunch break,7
otherwise this,7
needed to go,7
intelligence will be,7
let him,7
put little bit of,7
that austria alliance,7
of it may as,7
like what difference does,7
potentially trying to,7
losing not just berlin,7
put one on,7
interesting does not,7
keeping up with,7
is extremely,7
russia viable,7
keeps denmark,7
sweden lost,7
let them have,7
intelligence and,7
itd be good,7
other question,7
its important that,7
kinda confused glad they,7
people as,7
kinda confused glad,7
russians,7
russian troop so,7
norway or the fleets,7
like to add,7
its important,7
gas to,7
love alliances with austria,7
north sea would definitely,7
got russia to,7
north sea would have,7
makes them voluntarily,7
lose ruhr and,7
italy is someone,7
leaves me much more,7
ll attack nwy with,7
is the problem,7
is where,7
in the third,7
it gets rid,7
say in how,7
gonna roll this game,7
it if you held,7
just remember,7
nervous but how,7
said that knowing,7
is traditionally austrian territory,7
germany needs,7
just started checking messages,7
map interface hard to,7
map interface hard,7
privyet won,7
the first place this,7
it lot better for,7
over there in,7
pm italy said,7
of getting,7
like good deal to,7
russia been talking to,7
now have potential,7
russia and will let,7
like bit,7
made me,7
not sure how long,7
or vie,7
locked into,7
like france russia,7
problem is you lied,7
need from germany,7
just has,7
really you,7
just hand over,7
russia confirmed in,7
it may make him,7
no strays what harm,7
into venice,7
not attacking you this,7
of berlin,7
not realizing they,7
invading,7
not really but it,7
it seems the germany,7
just to be really,7
make how this sound,7
real question assuming,7
look good convoy,7
non aggression until,7
invade any,7
ll leave the austrians,7
non aggression with,7
into warsaw ll,7
guess its,7
nervous about committing both,7
in venice for,7
is traditionally austrian,7
much stronger,6
italy unfortunately,6
pic bre wal yor,6
they wouldnt,6
just look at,6
of discord between,6
moscow can help,6
shenanigans around bulgaria breach,6
the mediterranean what in,6
optimal,6
more than that,6
him alone this,6
open to,6
hey just replying to,6
like to work to,6
made germany,6
just didn submit orders,6
separately would you,6
more than demark,6
me in doing so,6
or are you on,6
offline since,6
open to being,6
has there,6
just going for trieste,6
new or interesting that,6
opening they,6
is asking me to,6
just berlin but he,6
jetlag,6
just going,6
on stop the,6
run my position isn,6
like him too,6
more imposing,6
still mine,6
like the real,6
loves them dots,6
is being honest,6
have you reached out,6
like them to go,6
lot of discord,6
new confidential italy,6
lucks and have,6
more france,6
my suggestions,6
not be super,6
me keep,6
to me yet,6
more clear after few,6
not being nosy at,6
shared king,6
more worried about,6
like have been,6
has to be friends,6
thats definite plus,6
north sea support yourself,6
more and have,6
on your friend,6
ll see how that,6
really hoping that we,6
france like what is,6
going to move an,6
messes up,6
the fleet or,6
hope we can,6
hope to send gol,6
it proves that,6
my boys in greece,6
real problem in,6
mean you don want,6
