,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,msg_id
Game1-italy-germany-27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Game1-italy-germany-27
Game1-italy-germany-29,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-29
Game1-italy-germany-30,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,Game1-italy-germany-30
Game1-italy-germany-31,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-31
Game1-italy-germany-32,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,Game1-italy-germany-32
Game1-italy-germany-33,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,Game1-italy-germany-33
Game1-italy-germany-34,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-34
Game1-italy-germany-35,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,Game1-italy-germany-35
Game1-italy-germany-36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Game1-italy-germany-36
Game1-italy-germany-37,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,Game1-italy-germany-37
Game1-italy-germany-38,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,Game1-italy-germany-38
Game1-italy-germany-39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Game1-italy-germany-39
Game1-italy-germany-40,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game1-italy-germany-40
Game1-italy-germany-41,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-41
Game1-italy-germany-43,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game1-italy-germany-43
Game1-italy-germany-44,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,Game1-italy-germany-44
Game1-italy-germany-49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Game1-italy-germany-49
Game1-italy-germany-50,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-50
Game1-italy-germany-51,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,Game1-italy-germany-51
Game1-italy-germany-53,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-53
Game1-italy-germany-54,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-54
Game1-italy-germany-55,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Game1-italy-germany-55
Game1-italy-germany-56,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,Game1-italy-germany-56
Game1-italy-germany-57,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,Game1-italy-germany-57
Game1-italy-germany-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Game1-italy-germany-58
Game1-italy-germany-60,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Game1-italy-germany-60
Game1-italy-germany-62,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-62
Game1-italy-germany-64,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,Game1-italy-germany-64
Game1-italy-germany-66,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Game1-italy-germany-66
Game1-italy-germany-68,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-68
Game1-italy-germany-69,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Game1-italy-germany-69
Game1-italy-germany-70,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,Game1-italy-germany-70
Game1-italy-germany-72,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,Game1-italy-germany-72
Game1-italy-germany-73,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,Game1-italy-germany-73
Game1-italy-germany-74,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,Game1-italy-germany-74
Game1-italy-germany-76,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game1-italy-germany-76
Game1-italy-germany-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game1-italy-germany-78
Game1-italy-germany-79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-79
Game1-italy-germany-80,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,Game1-italy-germany-80
Game1-italy-germany-81,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,Game1-italy-germany-81
Game1-italy-germany-82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-82
Game1-italy-germany-84,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-84
Game1-italy-germany-87,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,Game1-italy-germany-87
Game1-italy-germany-88,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,Game1-italy-germany-88
Game1-italy-germany-89,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-89
Game1-italy-germany-90,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Game1-italy-germany-90
Game1-italy-germany-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game1-italy-germany-91
Game1-italy-germany-93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Game1-italy-germany-93
Game1-italy-germany-94,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,Game1-italy-germany-94
Game1-italy-germany-95,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Game1-italy-germany-95
Game1-italy-germany-96,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,Game1-italy-germany-96
Game1-italy-germany-98,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-98
Game1-italy-germany-101,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-101
Game1-italy-germany-102,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Game1-italy-germany-102
Game1-italy-germany-103,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game1-italy-germany-103
Game1-italy-germany-104,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-104
Game1-italy-germany-105,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-105
Game1-italy-germany-106,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,Game1-italy-germany-106
Game1-italy-germany-107,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-107
Game1-italy-germany-108,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-108
Game1-italy-germany-109,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,Game1-italy-germany-109
Game1-italy-germany-110,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-110
Game1-italy-germany-112,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,Game1-italy-germany-112
Game1-italy-germany-113,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game1-italy-germany-113
Game1-italy-germany-114,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,Game1-italy-germany-114
Game1-italy-germany-115,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Game1-italy-germany-115
Game1-italy-germany-116,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,Game1-italy-germany-116
Game1-italy-germany-117,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-117
Game1-italy-germany-118,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-118
Game1-italy-germany-120,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-120
Game1-italy-germany-121,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-121
Game1-italy-germany-122,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Game1-italy-germany-122
Game1-italy-germany-123,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-123
Game1-italy-germany-124,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-124
Game1-italy-germany-125,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,Game1-italy-germany-125
Game1-italy-germany-126,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Game1-italy-germany-126
Game1-italy-germany-127,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Game1-italy-germany-127
Game1-italy-germany-129,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,Game1-italy-germany-129
Game1-italy-germany-130,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-130
Game1-italy-germany-131,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,Game1-italy-germany-131
Game1-italy-germany-133,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game1-italy-germany-133
Game1-italy-germany-134,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game1-italy-germany-134
Game1-italy-germany-136,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,Game1-italy-germany-136
Game1-italy-germany-137,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-137
Game1-italy-germany-138,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game1-italy-germany-138
Game1-italy-germany-140,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game1-italy-germany-140
Game1-italy-germany-141,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-141
Game1-italy-germany-142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Game1-italy-germany-142
Game1-italy-germany-145,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,Game1-italy-germany-145
Game1-italy-germany-146,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-146
Game1-italy-germany-147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Game1-italy-germany-147
Game1-italy-germany-148,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game1-italy-germany-148
Game1-italy-germany-149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Game1-italy-germany-149
Game1-italy-germany-150,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-150
Game1-italy-germany-152,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-152
Game1-italy-germany-153,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game1-italy-germany-153
Game1-italy-germany-154,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game1-italy-germany-154
Game1-italy-germany-155,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Game1-italy-germany-155
Game1-italy-germany-156,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,Game1-italy-germany-156
Game1-italy-germany-157,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,Game1-italy-germany-157
Game1-italy-germany-159,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-159
Game1-italy-germany-161,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,Game1-italy-germany-161
Game1-italy-germany-162,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-162
Game1-italy-germany-163,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Game1-italy-germany-163
Game1-italy-germany-164,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,Game1-italy-germany-164
Game1-italy-germany-165,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game1-italy-germany-165
Game1-italy-germany-166,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,Game1-italy-germany-166
Game1-italy-germany-167,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-167
Game1-italy-germany-168,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game1-italy-germany-168
Game1-italy-germany-169,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Game1-italy-germany-169
Game1-italy-germany-170,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game1-italy-germany-170
Game1-italy-germany-171,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Game1-italy-germany-171
Game1-italy-germany-172,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-172
Game1-italy-germany-173,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game1-italy-germany-173
Game1-italy-germany-174,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,Game1-italy-germany-174
Game1-italy-germany-176,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-176
Game1-italy-germany-177,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,Game1-italy-germany-177
Game1-italy-germany-178,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-178
Game1-italy-germany-179,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Game1-italy-germany-179
Game1-italy-germany-180,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game1-italy-germany-180
Game1-italy-germany-182,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-182
Game1-italy-germany-184,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Game1-italy-germany-184
Game1-italy-germany-186,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Game1-italy-germany-186
Game1-italy-germany-187,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game1-italy-germany-187
Game1-italy-germany-188,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-188
Game1-italy-germany-189,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-189
Game1-italy-germany-193,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Game1-italy-germany-193
Game1-italy-germany-194,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,Game1-italy-germany-194
Game1-italy-germany-196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game1-italy-germany-196
Game1-italy-germany-198,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Game1-italy-germany-198
Game1-italy-germany-199,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Game1-italy-germany-199
Game1-italy-germany-202,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,Game1-italy-germany-202
Game1-italy-germany-203,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,Game1-italy-germany-203
Game1-italy-germany-209,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Game1-italy-germany-209
Game1-italy-germany-210,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-210
Game1-italy-germany-211,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-211
Game1-italy-germany-212,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Game1-italy-germany-212
Game1-italy-germany-215,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,Game1-italy-germany-215
Game1-italy-germany-217,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,Game1-italy-germany-217
Game1-italy-germany-218,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Game1-italy-germany-218
Game1-italy-germany-220,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Game1-italy-germany-220
Game1-italy-germany-222,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game1-italy-germany-222
Game1-italy-germany-223,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-223
Game1-italy-germany-225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Game1-italy-germany-225
Game1-italy-germany-229,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game1-italy-germany-229
Game1-italy-germany-231,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Game1-italy-germany-231
Game1-italy-germany-233,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,Game1-italy-germany-233
Game1-italy-germany-237,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Game1-italy-germany-237
Game1-italy-germany-239,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,Game1-italy-germany-239
Game1-italy-germany-240,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Game1-italy-germany-240
Game1-italy-germany-241,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-241
Game1-italy-germany-244,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-244
Game1-italy-germany-246,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-246
Game1-italy-germany-249,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,Game1-italy-germany-249
Game1-italy-germany-252,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Game1-italy-germany-252
Game1-italy-germany-253,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Game1-italy-germany-253
Game1-italy-germany-260,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Game1-italy-germany-260
Game1-italy-germany-262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game1-italy-germany-262
Game1-italy-germany-265,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-265
Game1-italy-germany-267,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,Game1-italy-germany-267
Game1-italy-germany-268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game1-italy-germany-268
Game1-italy-germany-269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Game1-italy-germany-269
Game1-italy-germany-270,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game1-italy-germany-270
Game1-italy-germany-273,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-273
Game1-italy-germany-274,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Game1-italy-germany-274
Game1-italy-germany-276,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,Game1-italy-germany-276
Game1-italy-germany-277,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-277
Game1-italy-germany-278,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,Game1-italy-germany-278
Game1-italy-germany-279,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game1-italy-germany-279
Game1-italy-germany-280,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game1-italy-germany-280
Game1-italy-germany-281,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,Game1-italy-germany-281
Game1-italy-germany-283,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,Game1-italy-germany-283
Game1-italy-germany-285,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-285
Game1-italy-germany-286,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,Game1-italy-germany-286
Game1-italy-germany-289,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-289
Game1-italy-germany-290,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Game1-italy-germany-290
Game1-italy-germany-291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game1-italy-germany-291
Game1-italy-germany-300,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-300
Game1-italy-germany-301,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-301
Game1-italy-germany-302,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-302
Game1-italy-germany-304,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,Game1-italy-germany-304
Game1-italy-germany-308,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,Game1-italy-germany-308
